title,release_year,runtime_minutes,primary_genre,avg_rating,num_votes,role,person_name
The Kid,1921,68,Comedy,8.2,144200,actor,Charles Chaplin
The Kid,1921,68,Comedy,8.2,144200,actress,Edna Purviance
The Kid,1921,68,Comedy,8.2,144200,actor,Jackie Coogan
The Kid,1921,68,Comedy,8.2,144200,actor,Carl Miller
The Kid,1921,68,Comedy,8.2,144200,actor,Albert Austin
The Kid,1921,68,Comedy,8.2,144200,actor,Albert Austin
The Kid,1921,68,Comedy,8.2,144200,actress,Beulah Bains
The Kid,1921,68,Comedy,8.2,144200,actress,Nellie Bly Baker
The Kid,1921,68,Comedy,8.2,144200,actor,Henry Bergman
The Kid,1921,68,Comedy,8.2,144200,actor,Henry Bergman
The Kid,1921,68,Comedy,8.2,144200,actor,Edward Biby
The Kid,1921,68,Comedy,8.2,144200,actor,B.F. Blinn
The Kid,1921,68,Comedy,8.2,144200,director,Charles Chaplin
The Kid,1921,68,Comedy,8.2,144200,writer,Charles Chaplin
The Kid,1921,68,Comedy,8.2,144200,producer,Charles Chaplin
The Kid,1921,68,Comedy,8.2,144200,composer,Charles Chaplin
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Max Schreck
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Alexander Granach
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Gustav von Wangenheim
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actress,Greta Schröder
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Georg H. Schnell
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actress,Ruth Landshoff
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Gustav Botz
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,John Gottowt
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Max Nemetz
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,actor,Wolfgang Heinz
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,director,F.W. Murnau
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,writer,Bram Stoker
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,writer,Henrik Galeen
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,producer,Enrico Dieckmann
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,producer,Albin Grau
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,composer,Giuseppe Becce
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,composer,James Bernard
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,composer,James Duhamel
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,composer,Hans Erdmann
Nosferatu: A Symphony of Horror,1922,94,Fantasy,7.8,122095,cinematographer,Fritz Arno Wagner
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Charles Chaplin
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Mack Swain
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Tom Murray
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Henry Bergman
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Malcolm Waite
The Gold Rush,1925,95,Adventure,8.1,126947,actress,Georgia Hale
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Jack Adams
The Gold Rush,1925,95,Adventure,8.1,126947,actor,Frank Aderias
The Gold Rush,1925,95,Adventure,8.1,126947,actress,Leona Aderias
The Gold Rush,1925,95,Adventure,8.1,126947,actress,Lillian Adrian
The Gold Rush,1925,95,Adventure,8.1,126947,director,Charles Chaplin
The Gold Rush,1925,95,Adventure,8.1,126947,writer,Charles Chaplin
The Gold Rush,1925,95,Adventure,8.1,126947,composer,Charles Chaplin
The Gold Rush,1925,95,Adventure,8.1,126947,composer,William P. Perry
The Gold Rush,1925,95,Adventure,8.1,126947,cinematographer,Roland Totheroh
Metropolis,1927,153,Drama,8.2,198927,actress,Brigitte Helm
Metropolis,1927,153,Drama,8.2,198927,actress,Brigitte Helm
Metropolis,1927,153,Drama,8.2,198927,actress,Brigitte Helm
Metropolis,1927,153,Drama,8.2,198927,actor,Alfred Abel
Metropolis,1927,153,Drama,8.2,198927,actor,Gustav Fröhlich
Metropolis,1927,153,Drama,8.2,198927,actor,Rudolf Klein-Rogge
Metropolis,1927,153,Drama,8.2,198927,actor,Rudolf Klein-Rogge
Metropolis,1927,153,Drama,8.2,198927,actor,Fritz Rasp
Metropolis,1927,153,Drama,8.2,198927,actor,Fritz Rasp
Metropolis,1927,153,Drama,8.2,198927,actor,Theodor Loos
Metropolis,1927,153,Drama,8.2,198927,actor,Theodor Loos
Metropolis,1927,153,Drama,8.2,198927,actor,Erwin Biswanger
Metropolis,1927,153,Drama,8.2,198927,actor,Heinrich George
Metropolis,1927,153,Drama,8.2,198927,actor,Heinrich George
Metropolis,1927,153,Drama,8.2,198927,actor,Fritz Alberti
Metropolis,1927,153,Drama,8.2,198927,actor,Fritz Alberti
Metropolis,1927,153,Drama,8.2,198927,actress,Grete Berger
Metropolis,1927,153,Drama,8.2,198927,actress,Grete Berger
Metropolis,1927,153,Drama,8.2,198927,director,Fritz Lang
Metropolis,1927,153,Drama,8.2,198927,writer,Thea von Harbou
Metropolis,1927,153,Drama,8.2,198927,producer,Erich Pommer
Metropolis,1927,153,Drama,8.2,198927,composer,Maximianno Cobra
Metropolis,1927,153,Drama,8.2,198927,composer,James Duhamel
Metropolis,1927,153,Drama,8.2,198927,composer,Sandro Forte
Metropolis,1927,153,Drama,8.2,198927,composer,Gottfried Huppertz
Metropolis,1927,153,Drama,8.2,198927,cinematographer,Karl Freund
